upc,store,qty,price,name,datetime
662248916354,82,0,12.88,XB1 DEX MNKDIV DAY1,2018-04-02 02:41:52.337985
662248916354,122,0,8,XB1 DEX MNKDIV DAY1,2018-04-02 02:41:55.421901
662248916354,237,4,9.5,XB1 DEX MNKDIV DAY1,2018-04-02 02:42:03.663974
662248916354,833,5,12.88,XB1 DEX MNKDIV DAY1,2018-04-02 02:42:50.222255
662248916354,252,10,12.88,XB1 DEX MNKDIV DAY1,2018-04-02 02:42:54.769782
662248916354,233,7,12.88,XB1 DEX MNKDIV DAY1,2018-04-02 02:42:59.324186
611247369456,82,0,109,KEURIG K525 ALUMINUM,2018-04-02 02:46:44.974546
611247369456,122,0,74,KEURIG K525 ALUMINUM,2018-04-02 02:46:47.369110
611247369456,222,0,109,KEURIG K525 ALUMINUM,2018-04-02 02:46:52.440716
611247369456,237,0,109,KEURIG K525 ALUMINUM,2018-04-02 02:46:55.022510
611247369456,252,0,74,KEURIG K525 ALUMINUM,2018-04-02 02:46:56.498820
611247369456,262,0,74,KEURIG K525 ALUMINUM,2018-04-02 02:47:00.360447
611247369456,302,0,74,KEURIG K525 ALUMINUM,2018-04-02 02:47:02.017547
611247369456,596,0,109,KEURIG K525 ALUMINUM,2018-04-02 02:47:03.484336
85081361820,216,0,7,PW 8 PC BAKE N STORE,2018-04-02 03:11:32.196863
85081055033,82,0,11,PW PAIGE 12 PC RED,2018-04-02 03:27:47.861613
85081055033,216,5,44.92,PW PAIGE 12 PC RED,2018-04-02 03:27:53.954838
85081055033,222,0,23,PW PAIGE 12 PC RED,2018-04-02 03:27:56.093137
85081055033,224,0,11,PW PAIGE 12 PC RED,2018-04-02 03:27:58.208726
85081055033,233,0,11,PW PAIGE 12 PC RED,2018-04-02 03:28:23.173397
85081055033,252,0,11,PW PAIGE 12 PC RED,2018-04-02 03:28:25.507318
46013775122,196,1,40,LSKO CYCLONIC HTR,2018-04-02 03:28:41.892010
611247369456,188,2,74,KEURIG K525 ALUMINUM,2018-04-02 03:31:23.922025
611247369456,196,2,74,KEURIG K525 ALUMINUM,2018-04-02 03:31:26.176836
611247369456,833,1,74,KEURIG K525 ALUMINUM,2018-04-02 03:31:27.910807
85081055033,196,2,11,PW PAIGE 12 PC RED,2018-04-02 03:54:57.787849
662248916354,216,19,12.88,XB1 DEX MNKDIV DAY1,2018-04-02 04:05:56.054169
841058015154,262,0,13,HYDRO5 REFILL 8CT,2018-04-02 05:06:02.377513
662248916354,262,11,12.88,XB1 DEX MNKDIV DAY1,2018-04-02 05:40:45.314392
611247358337,82,0,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.969418
611247358337,833,0,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.969536
611247358337,596,0,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.969646
611247358337,216,0,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.969760
611247358337,196,1,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.969869
611247358337,262,0,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.969984
611247358337,302,0,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.970097
611247358337,252,0,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.970209
611247358337,233,0,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.970321
611247358337,237,0,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.970431
611247358337,224,0,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.970554
611247358337,352,0,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.970673
611247358337,222,0,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.970790
611247358337,122,0,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.970887
